"","ID","paragraphs","nchar"
"11","doc 25","first twelve years just supervising services south st. louis county, ended restructuring time. took supervision st. louis county—both north south. got rule 25 assessors three different offices. also special project, generated county board's commitment support try find resolutions opioid epidemic. directing overseeing substance abuse prevention, intervention initiatives since probably april 2014. ",541
"12","doc 29","ga: coming 2003 primary substance choice alcohol. alcohol still seen number one. cycles trends changed. get later 2000s, maybe starting 2006, 2007 incredible upswing methamphetamine. basically dealing two different fronts. effect individuals family use, also public health crisis dealing manufacturing. lot money, lot resources put that. actually worked collaboration children family services unit financial assistance unit working setting shared family program basically mothers and/or parents dealing substance use placed adult foster home, actually end dually licensed foster home parent child placed together assist support initial phases recovery process. lot barriers place state perspective regards funding. funding adults, residential services called group state residential housing program significant effects minnesota family investment program, mfip. using 1) impacts others, get great detail right_now memory's kind faded. operated two three years, continuing barriers regards getting appropriate level funding getting families accept needing done financial assistance standpoint. ",1632
"13","doc 31","ga: yeah. monitoring, mentoring, types of—",48
"14","doc 33","ga: got frustrating. actually come position ongoing discussions past regarding trying parents dealing mental illness. continuation. barriers regards funding streams. state worked hard trying get things place relationship efforts reduce homelessness provide permanent support housing services. sure things may now changed. really taken look that. recent times looking projects relationship harm_reduction chronic inebriates face long-term homelessness. program called san marco, basically project modeled several communities within state minnesota, also throughout country. center alcohol drug treatment center city housing key players that. st. louis county public health human services provided supportive role development. worked assistance utilizing group residential housing financial assistance benefit provide funding individuals meeting characteristics. matter fact ten-year anniversary opening june 22nd. alcohol consumption a—",1362
"15","doc 35","ga: common term. kind shifted wet house supportive housing chronic inebriates. just another example collaboration commitment community can address it. wish still dvd—a dvd made think two_years opening—and called ""there losers,"" telling story. bring tears some. see can find office. law enforcement real, want say cynical, real concerns putting together, basically end dvd moving statement police chief regards program done individuals residing there, positive impact city community. ",787
"16","doc 37","ga: is. walk office, building, look one block san marco there. 230 west 3rd street. actually seventy units. thirty board watch component inebriates, forty single room sro units individuals. basically sro geared—we human development center community mental_health center—they provide supportive services individuals sro center alcohol drug treatment provides services individuals board watch. ",561
"17","doc 39","ga: lot resources allocated this. enhanced services children family services provide support, direction, intervention families afflicted issue. things kind of, well least standpoint, things fell wayside period time, think biggest thing law enforcement standpoint able focus reduce, ever totally eliminate, greatly reduce labs community. ",492
"18","doc 41","ga: yeah. duluth, rural duluth—",44
"19","doc 43","ga: yeah. can think least three four instances homes duluth. basically necessarily lower income areas occurring. boundaries relationship income. ",220
"20","doc 45","ga: really coming back. meth also very, prevalent. but, things really slowed probably, guessing, 2010, 2011. just_kind going along. dealing issues, things really coming light, things really becoming noticeable 2011, 2012. late 2012 commissioner department human services came duluth community leaders, believe police chief part panel presentation, want say lucinda jesson department human services commissioner time. long story short came discussing state's direction put together implement substance use state plan address substance use. ",738
"21","doc 47","ga: came st. paul. believe may been—i think minnesota department health think another state department along chief police time gordon ramsey. excited taking place. attended session along adult service division director mark nelson. time north st. louis county mcd supervisor mike [unclear], also attendance professor university duluth's school pharmacy mark sneiderhan, ceo center alcohol drug treatment gary olson, dr. faris keeling, dr. beth bilden essentia—at point st. mary's duluth clinic. treatment providers there, group started talking session, discussion led series meetings, basically first step development opioid abuse response strategies work group. overview. ",956
"22","doc 49","ga: yeah. point time primary concern focused prescription opioids. conversations came reviews, discussions, time went basically came greater monitoring control prescription medications. longer easily accessed, entrepreneurship others reflecting back supply demand basically said prescription medications, something will fit need will able provide price will good us affordable them. started swing shift heroin. ",596
"23","doc 50","second page references appearance two oars [opioid abuse response strategies] members, basically first substance abuse prevention intervention initiative team member [marsha gertel]. interviewed almanac north. almanac north spin-off almanac channel 2 twin cities. basically questions posed us kind went them. major heroin bust think day before—the date almanac north good friday 2014. major heroin bust either wednesday thursday week, based channel 8 called dana kazel, communication manager, wanting get response st. louis county relationship this. department contacted. adult service division director unable attend, basically went [marsha gertel] interview two hosts program.",972
"24","doc 51","oars group basically ended discussions leading proposal put together then—i think late 2000s—our public health department social service department merged public health human services. public health human services department proposed county commissioner's developing substance use prevention intervention initiative. unanimous vote january 2014 basically approved allocation four fte's provide prevention/intervention services throughout st. louis county address issues relating substance abuse. ",607
"25","doc 52","latest draft pamphlet brochure. can tell—yeah. [shows pamphlet] so, basically gives description relationship assisting supporting individuals, families, communities throughout st. louis county. will things public education, trainings, consultations within department family members others calling concerned wanting direction ideas.",453
"26","doc 54","ga: basically extension oars. oars program founded. oars came first. ",110
"27","doc 56","ga: think fair. basically looking at. ",71
"28","doc 58","ga: yeah. lot focus opioid piece. called expedited rule 25 assessments children family services. incredibly high rate home placement. kids foster care licensed facilities programs related parental substance use. parent parents come risk losing children. borderline crisis crisis. willing wanting assessment, oftentimes right one workers available, either [matt johnson] [marsha gertel]. also social worker north st. louis county. based hibbing, able go exactly day next day. happens quickly. ",762
"29","doc 59","let see can find [rustling papers]. minnesota department health put together annual—i can probably forward minnesota department health—it's basically data, statistics overdoses minnesota. county breakdown. basically broken things st. louis county 2015. 2016 statistics coming point, 2015 right_now. can take look overdoses related opioids. this based admissions licensed chemical dependency treatment programs. necessarily dealing individuals, admissions. ",636
"30","doc 61","ga: yeah, well know personal experience. ",53
"31","doc 63","ga: know something drinking water. mean something witnessed first came community 1987, just something just part culture value able work together support even though may agree various items values life. common purpose see problem needs solved can push differences aside work jointly collaborative fashion. submitted grant proposal department human services approximately 1.3 million dollars state targeted response opioid crisis. state minnesota received 5.3 million dollars 2017 2018 legislation pushed supported hard senator [amy] klobuchar address opioid crisis rural communities. ",867
"32","doc 65","ga: yeah. 5.3 million. ",23
"33","doc 67","ga: yeah. see can send powerpoint handouts will give even information. ",110
"34","doc 69","ga: submitted april 28th [2017]. st. louis county public health human service submitted proposal lead partner consortium duluth police department, lake superior drug violent crime task force, rural aids action network, center alcohol drug treatment, university minnesota duluth school pharmacy, six judicial district drug courts, carleton county public health human service.",430
"35","doc 71","ga: carleton county will receive financial benefit application, things will allow carleton county residents access particular things relationship drug court probably star component proposal development medically monitored opioid withdrawal program duluth detox. basically six-bed expansion duluth detox program, managed center alcohol drug treatment, collaborated helped facilitate san marco program. basically will individuals go medical withdrawal nurses doctors monitoring. will medication need. center alcohol drug treatment also clear path program, medication assisted treatment program, utilizes methadone suboxone. ",851
"36","doc 72","went significant borderline crisis situation back want say 2013. methadone program, want get sued say, methadone program called lake superior treatment center. basically going significant concerns issues relationship meeting licensing. state rule 31 licensing requirements. want say either 2012 2013 license revoked, put state minnesota crisis situation one five six programs company based state. state minnesota license revoked revoked programs parent company. closed lake superior treatment center ended closing think three four programs twin cities, one st. cloud, one rochester.",887
"37","doc 75","ga: yeah, long list, things set provider appeals revocation can maintain operation appeal process. appeal process went two plus year time period. initial onset meeting department human services state contingency plans something ended playing program closed. result collaboration oars group st. louis county put rop community based treatment program. received number proposals. ended personal presentations three finals area basically ended reviewing choosing center alcohol drug treatment. gary olson, ceo, talking putting something together four five years prior piece, raised level need. gary center just reflective collaboration efforts things. ",959
"38","doc 77","ga: here. non-profit. chief executive officer working dealing stuff thirty plus years. ",143
"39","doc 79","ga: yes. focusing community needs. gary adamant public health issue impact individuals' families overall community. reflective trying oars group. ",247
"40","doc 83","ga: yeah. meet every two months. next meeting june 15th. calendar allows can certainly—i can send appointment. meet second floor. really exciting time. based sent relationship grant proposal might hearing tomorrow whether not—they talking twenty-one days. tight timeline. state submitted plan january, basically programs supposed running july 1st. basically awards done contract negotiation piece awardees dhs. basically contract signed get things place july 1st. real interesting process. ",711
"41","doc 85","ga: rapid response overdose victims. collaborating duluth police, lake superior drug violent crime task force. jeff kazel can give lot detail that. particular piece looking expansion narcan naloxone access. able provide naloxone narcan training use substance. target law enforcement agencies throughout st. louis county. think sometimes get lost details—i'm sure also going possibly include emergency responders, definitely law enforcement agencies throughout st. louis county. ",646
"42","doc 86","going partnering substance use prevention intervention initiative social workers provide rapid response regard follow support. going try get see individual one two days. friday evening probably able anything monday. able get individual, provide rule 25 assessment, first step access treatment, provide alternatives supports may applicable necessary. trying establish contact early possible get things place provide support. ",627
"43","doc 88","ga: hoping will nice fit regards detox expansion. thing know need going exceed supply, duluth detox will able bring individuals provide place stay can get program. gary olson duluth detox going working north st. louis county range detox virginia [minnesota] able go range detox staying range detox going able brought duluth detox program. working ways, too. possible openings available. discussions transportation ely bringing people down. ",688
"44","doc 89","thing gets lost st. louis county geographically bigger three states within mainland. got large geographical area. another thing too, reminded regular basis too, st. louis county massive dealing services issues related urban rural settings. need able understand put things place address things areas. helps grown small farm able better connect understand things. always discussions about, ""this happens here. happens there."" “shouldn't same?” well, got apple got orange. make orange juice apple. make apple pie orange. although can apple juice orange juice. may great metaphor. ",865
"45","doc 91","ga: needs community effort, got got oars group. well documented throughout past four five years law enforcement judicial legal system arrest problem. need address prevention intervention standpoint. need provide support services individuals dealing addiction, need able outreach provide education support community better understanding addiction is, substances, drugs, can individual, process also communicate fact individuals dealing choice. dealing afflicted disease. ",800
"46","doc 92","one key points trying work constant basis stigma. need able remove stigma associated chemical dependency addiction. similar effort needs done regards mental_health. stigma hard individual come say, ""i'm addicted heroin. need help,"" many signs reactions people_like, ""oh, get here. worth anything. want to. making bad choices want to. just_get here. time help you."" type thing. ",632
"47","doc 93","think progress made. just discussions experiences, fortunately first-hand experience this. blessed far family. listening others seen going others, spouse, child, sibling, see understand fact choice. that—that_just amplifies importance support groups nar-anon verne wagner involved mutual experiences people share. ends snowball like_good things going grow passing information communication. need address things prevention intervention prevention. going solve lot just addressing one thing. reactive instead proactive both. ",916
"48","doc 95","ga: basically learned job. life experience, too. younger days twin cities social active lifestyle relationships individuals started great sudden like a, b, c, d. good. ended leaving relationship getting another relationship sudden thing starts happening. like, wow. interesting piece—i established good friendship one particular individual grad school part cd [chemical dependency] group veteran's hospital. listening stories individuals dynamics tied relationship addiction. hearing kind explained earlier life experiences. ",776
"49","doc 96","basically work. matter child protection working elderly: chemical dependency addiction_going part work. one things working department standpoint substance abuse prevention intervention initiative attempting put substance use disorder training core training function new social workers, new employees coming department. yet, getting much closer. wonderful training department within st. louis county. done lot work basically getting quarterly trainings set up. parental substance use disorder, abc's addiction. sbir [screening, brief intervention, referral] training—which brief intervention referral treatment—which screening piece can done anybody. need ph.d. master's. need college education able this. basically able ask open ended questions allow individual share able listen situation develop enlightenment risks involved. individual can easy saying, well, need get someone drive home night. or, phone numbers call. think really good get assessment see possibly might eligible chemical dependency treatment might good direction go. ",1523
"50","doc 98","ga: tough uncomfortable conversation, conflicting values installed us. ",121
"51","doc 100","ga: absolutely. part program, call 'sappy program' trying get, still work this, basically able to—we've experiences school districts throughout st. louis county. worked trying provide support, sbir training, employment agencies. ",328
"52","doc 102","ga: screening, brief intervention, referral treatment. referral treatment necessarily going chemical dependency treatment, referring services. can find lot information sbir. best practice established ers, necessarily substance abuse. can useful tool. something encourage. done sbir training now two_years now within st. louis county social workers, probation officers, public health nurses. ",487
"53","doc 104","ga: trying expand professional personal toolbox. ",57
"54","doc 106","ga: contagious. basically energy commitment others work display regarding this. can take credit interview. situations talking someone really sure purpose intent, get little guarded concerned saying it. matt johnson, one social workers, fifteen minute radio piece kdal 610 last wednesday. tom hanson, radio person working with, bouncing weather international news local news type thing, went way just conversation establish personal type atmosphere. things started—it often happen matt got done interview felt really good doing, said, communicated. ",911
"55","doc 108","ga: important. time get chance share others experience read expansion extension doing. got information card going start producing. law enforcement will raan [rural aids action network] basically individuals kind two sides—it's resources: range treatment center, center alcohol drug treatment, united way 211 information referral. key piece. inside going risk reduction points: always use clean needle, use with—harm_reduction safety points. blanking key points. forward stuff. minnesota department overdose reports.  ",740
"56","doc 115","chanhassen, minnesota",21
"57","doc 116","janie bining colford-jbc",24
"58","doc 121","jbc: sure. janie bining colford, give permission record this.",79
"59","doc 123","jbc: sure. grew country outside cincinnati, ohio farm. mostly grain farm, cows pigs chickens. one three girls. although half-brother affair father had. pretty normal farm girl childhood. went claremont northeastern high_school. horticulture degree worked horticulture field number years. moved minnesota worked, think twenty-one maybe, moved minnesota. worked landscape, lawn care company roseville. albrecht landscaping, actually. just summer. decided horticulture wasn’t really good year-round thing minnesota. started working prudential.",733
"60","doc 124","came here—actually maybe key story. came minnesota guy met college, sort engaged to, although think kind fling, came chemical dependency training. got treatment stayed here. moved lasted maybe month. another guy lived with, also treatment, started dating. ended getting married two kids. ex-husband father two older boys. recovery number years, although now drinks smokes. far know that’s all.",629
"61","doc 125","don’t_know else want know. twenty-five twenty-six oldest son. two_years later chance. now three children second husband.",187
"62","doc 127","jbc: think got married 1989. got divorced 1997. split 1983.",81
"63","doc 129","jbc: ‘93. yes, ’93, long. [laughs].",47
"64","doc 131","jbc: no, probably year half—i week every weekend them. switched week week. moved town in. able make work, school district everything. [side conversation].",314
"65","doc 132","[recording resumes break]",31
"66","doc 133","week week boys, worked well part. although different parenting styles house i’m sure one biggest challenges. fact boys stepmother, controlling much wanted real mom, made little_bit difficult. anyways, pretty much high_school. probably least older one was. chance—he’s one substance abuse disorder—when high_school started using. maybe even then. started become aware high_school. think senior year husband, current husband, fellowship mayo clinic jacksonville, florida. move there. moved jacksonville beach year. chance going stay dad finish high_school. never quite made senior year dui. shouldn’t say didn’t make senior year. didn’t make back champlin park high senior year. went alternative sober high_school. january senior year, 2008, moved jacksonville beach live husband. time_just emma. went got public school finished high_school.",1371
"67","doc 135","jbc: knew smoking weed. know drinking alcohol drugs, apparently was. didn’t really think big deal. [side conversation].",200
"68","doc 136","[recording resumes break]",31
"69","doc 138","jbc: did, except couple times trouble police. smoking weed public park got picked up. thought right thing time, send assessment just outpatient treatment. went anthony louis center. just_kind monitored him. probably didn’t eyes wide open time according many things besides marijuana obvious me.",496
"70","doc 139","earlier said came florida live us. really came right senior year started picked dui. went_back treatment time, back anthony louis time inpatient. florida.",273
"71","doc 141","jbc: it’s anoka think.",27
"72","doc 143","jbc: on-belay house, plymouth, it’s part whole group. anyway, went anthony louis center. went sober school. forget one. he’s like three around here. may may existence now. started using again. went_back anthony louis center third time probably within like year half period. went right on-belay house, halfway house, transitional house, plymouth. going sober high_school got kicked there. using, attitude. imagine that, addict attitude.",652
"73","doc 145","jbc: got kicked there. dad let back house.",77
"74","doc 147","jbc: florida winter. dad took around homeless centers one night. full. seventeen-year-old boy. guess playing tough love card. nobody room inn. [laughs] ended couch surfing days.",283
"75","doc 148","bought ticket come florida, experience got immediately got enrolled high_school. i’d come find needed like one class. january senior year he’d school maybe cumulatively three weeks whole senior year far. needed one class finish school florida. made take full load got job local, little pizza shop there. again, kind eyes half closed, got drugs drinking. keeping relatively secret—not bad became obvious. couple months moved back here. boss caught sneaking beer work tap. confronted addressed kept job. better sneaking beer guess. rambling much?",873
"76","doc 150","jbc: came back here—this 2008. graduated neptune fletcher high_school, something, there. jacksonville beach. like may. july year moved back minnesota. time lived champlin. got job started community college. things going okay.",329
"77","doc 152","jbc: yes, living husband. now pregnant twins. went on, i’m sure using drinking little_bit. didn’t seem control. was, like_said, working. going school. getting good grades.",266
"78","doc 153","august 2001 went new york dad stepmom brother cousin’s wedding. talking cousins. apparently told one cousins using heroin. uncle, cousin’s dad, overheard told ex-husband. john, dad cousin, ex-husband’s brother, called tell me. just weren’t sure address this. didn’t_know do. never wildest dreams thought using heroin. apparently unique never used prescription drugs.",586
"79","doc 155","jbc: just went straight heroin. want say probably went straight injecting. decided good negotiator good liar just tried talk without support wouldn’t successful. hired interventionist somewhere ohio. name jane metts. came planning. decided promises rehab center california. big thing worked out. morning husband kind made some, “we’re going somewhere,” know, got chance. dad’s house. someone watching little kids house. got there. i’d already bag packed assuming go way. intervention jane said, “you’ve heard mom dad. we’ve got treatment center.” director treatment center flown out. there. cost us lot money. [laughs]. “you’ve heard we’ve got treatment center, promises, picked you, they’re ready you.” can’t remember name now. “she’s going fly back you.” patricia. patricia meyers. “so think?” goes, “well options?” jane said him, “you don’t options.” said, “okay, well guess i’ll go.” went, ninety days promises.",1355
"80","doc 157","jbc: yes. always, always been, still forthcoming confront him. get start talking it. he’ll whole denial thing like, “what talking about?”",211
"81","doc 158","[resumes break recording]",34
"82","doc 159","he’s always, kind get past bullshit, pretty open use. generally, push comes shove it’s time go treatment, goes. he’s inpatient treatment eleven times.",214
"83","doc 161","jbc: eleven times. times us saying, “this option.” couple times he’s asked go_back. went promises. kind stuff want hear?",188
"84","doc 163","jbc: went promises. promises ninety days went structured sober living house venice. west la promises, malibu. west la age group. did, think five months, sober living place called casa del oeste, great place. another boy moved apartment own. say, boy, think twenty-nine time. relapsed. didn’t_know little while. boy died, drug overdose, septic shock intravenous needles, yes. definitely drug related. chance initiated going back point sober living house.",714
"85","doc 165","jbc: back treatment point.",42
"86","doc 167","jbc: yes, let him, seemed work just fine while. stayed another four months. got job working golf shop playing golf wasn’t working, whole recovery thing. met girl work. summer name. don’t_know ever recovery time met using. relapsed. time relapsed moved sober living house living two people recovery long-term recovery belt, still venice. found using called let know asking move out. moved girlfriend. no, no, no. didn’t. street days went_back promises. didn’t stay whole ninety days. stayed maybe month half. moved girlfriend.",913
"87","doc 168","got really bad girlfriend became so, don’t_know_right word is, using much. things getting control. scaring other. finally called me. i’m trying remember was. like 2012 think. came back here. convinced morning get plane. came back detox, went straight airport detox treatment.",441
"88","doc 169","relapsed just_kind over. went couple treatment places. wasn’t living here, renting rooms. sober living house little_bit. ended going utah treatment. came back here, went_back utah again. there’s just treatment, treatment, treatment. relapsed. treatments, ninety days, ninety days. went hazelden somewhere there. went couple different places here. one lake place retreat. he’s different sober living homes.",576
"89","doc 173","jbc: time.",22
"90","doc 175","jbc: yes, that. almost always looking place, finding it, arranging intake, assessment. he’s always private insurance. he’s never rule 25 kind thing. part wonders disadvantage, always him. mean one making phone calls. talked treatment centers lifetime ever thought would. just trying find one that’s different.",484
"91","doc 177","jbc: one treatment centers went utah, thirteen months. really comprehensive, great transitional program, great there, story. great he’s treatment. he’s cooperative. he’s probably manipulative. great gets relapses. yes, just managed crisis.",381
"92","doc 178","[resumes break recording]",34
"93","doc 180","jbc: hasn’t yet. [laughs] maybe need breaking point.",75
"94","doc 182","jbc: don’t_know. mean i’m sure somewhere someone suffering terms enough attention. don’t_know. everybody seems holding together right_now has. don’t_know. just needs done get extremely overwhelmed extremely stressed somehow manage it. i’ve never person believes hitting rock bottom what’s needed. believe rock bottom death, wait happened? know that’s people believe that’s fine. me, i’ll need convince get treatment think things control things get control. it’s stressful right_now. know doesn’t always want here. it’s also peace mind i’m wondering, doesn’t answer phone, is, alive? many times that’s happened. don’t_know want hear stories.",952
"95","doc 184","jbc: i’m sure i’m_going_get years right.",53
"96","doc 186","jbc: point, couple years ago, new roads treatment center utah. place mentioning that’s long term. first time_just_really inpatient. didn’t transitional living. chose leave that. lived girl met there. ended disaster. overdosed living her. called 911. fortunately, saved naloxone. lived together eight months. broke up. really didn’t anything keeping utah came back here.",600
"97","doc 187","living us couple months. got job quickly went_back hanging friends champlin still using. quickly got back heroin. quit job, started odd jobs guy. knew started using stopped coming home. knew actively using couldn’t live time. got pretty deep hole quickly, know happens. around may moved back here. mid-july finally asked—he called one day said, “can go_back treatment?” i’m_like, “yes. where?” wanted go_back new roads. made phone calls, got airline ticket, went there.",735
"98","doc 188","knew going hook back girlfriend. communicating. insurance. no, take back. insurance, really high deductible. knew went wasn’t going_go treatment get well end disaster. even made tons phone calls her. worked arrangement found treatment center take waive deductible. made arrangements her, made arrangements him. going meet airport going_go respective treatment centers. well didn’t. went hotel used whole night called let know.",738
"99","doc 190","jbc: weren’t going treatment right away.",49
"100","doc 192","jbc: yes. like two nights. going spend that, didn’t get_like nine, going spend night, whole day go following morning wednesday. turned out, using heroin, using benzodiazepine. next day, communication day. couldn’t understand talked him. had, unbeknownst them, like four something afternoon time. called treatment centers said, “i know guys scheduled pick up, respectively, time tomorrow morning. can go pick right_now? they’re hotel. here’s address, go_get them.”",768
"101","doc 193","well, treatment couldn’t. treatment said, “yep. we’ll there.” salt lake city; like two hours outside salt lake city provo. said, “we’ll couple hours.” well called girlfriend knew said, “she’s going overnight treatment center can’t. can go stay her? she’s alone.” girlfriend going_go stay jerrica. chance’s treatment center going come.",499
"102","doc 194","meantime, get call jerrica saying, “chance just took don’t_know went. told going_go mow neighbor’s lawn.” goes, “i’ve trying call cell phone, he’s answering. just took without shoes. jeans t-shirt shoes just took saying going_go mow neighbor’s yard.” i’m_like, “jerrica using?” tells me. i’m_like, “he’ll back.”",466
"103","doc 196","jbc: that’s benzos. i’m_like, “he likes things. he’s going sleep street.” didn’t come back evening. like seven eight i’m getting worried. she’s already worried. i’m calling police. said, “well hasn’t missing long, can’t really anything.” ten o’clock night i’m calling three area hospitals every hour, throughout entire night. i’m calling jails. i’m looking jail roster. i’m calling police pretty much every hour. they’re getting sick me. finally, next day around ten thirty manage go work somehow.",617
"104","doc 198","jbc: working prudential. nanny. nanny kids. went prudential, went work. one girlfriends said, “call police one time. tell it’s almost twenty-four hours. need file missing persons report.” finally said me, “was utah resident?” i’m_like, “no, he’s minnesota resident.” “well can’t file missing persons report anyways. file minnesota.” “well fuck good going do? he’s here.”",514
"105","doc 200","jbc: “well file intent locate report. done last night.” i’m_like, “thanks. okay. that?” anyways, got ball rolling.",172
"106","doc 202","jbc: yes, i’ve told them.",25
"107","doc 204","jbc: no. friend belinda stockman—who one mentioned may interested interview—her son, who’s also addict, time heroin addict meth addict, meth, like synthetic drugs think—maybe meth too. anyways that’s beside point. happened utah drug court caught felonies. gone olympic team. supposed go sochi. got messed drugs, ended jail. anyways, there. called her. said, “chance missing. here’s area last seen in. can aj go drive around see can find him?” did. picked jerrica drove around. course couldn’t find him. stop talk police, gave description. he’s like, “oh yes. i’ve gotten phone calls him.” knew everything. knew story.",979
"108","doc 205","file intent locate report, fax picture him, tell jerrica is, tell jerrica here’s i’ve done. fifteen minutes later get phone call panicky. goes, “the police hotel door, they’re knocking, want come in.” “so let in.” goes, “well, there’s drugs here.” say, “stuff mattress. don’t care jerrica. police need talk you.”",440
"109","doc 207","jbc: police knocking door saying, “jerrica you’re trying hide drugs don’t really care drugs. we’re talk chance. just let us in.” come in, picture, picture faxed. talked got information leave. five minutes later said came back pulled photo ipad said, “is him?” holding. holding since three morning. didn’t_know_didn’t_know was. boxer shorts. don’t_know wallet went, don’t_know clothes went, don’t_know phone went. gone.",719
"110","doc 209","jbc: didn’t_know name. didn’t even know was. thought minnesota. didn’t_know name unable say it. holding tank. charged public intoxication indecent exposure boxers. bail don’t just bail out. bail understanding they’re going release treatment center. treatment center going pick up.",460
"111","doc 210","time got processed like eleven o’clock wednesday night, utah time. treatment center goes jail pick up, he’s there. released earlier. waiting them. just couldn’t find him, sitting outside jail. get him, start driving back provo, get provo. thing arranged chance go_back treatment—and told chance this, high pretty much time processed—that went_back new roads full program, would, got withdrawals, start vivitrol. guy, director picked jail, told chance flipped out. said, “i’m vivitrol.”",808
"112","doc 212","jbc: yes, before.",44
"113","doc 214","jbc: one o’clock morning time get phone call chance saying, “mom you’ve got find another place.” i’m_like, “what?” he’s like, “they’re going take me.” said, “what mean they’re going take you?” “well, they’re going take don’t want vivitrol already told that. they’re going take me.” said, “put brandon phone.” i’m_like, “what’s going_on?” goes, “well, told chance vivitrol doesn’t want it.” said, “really? you’re conversation him? first knew that. high. second, you’re conversation guy many benzodiazepines heroin. pick holding cell.” said, “can just wait? put chance back phone. chance, here’s deal. you’re going. don’t wallet, don’t id, can’t get another treatment center without stuff. you’re going. need just_get head straight can figure what’s going_on.”",1100
"114","doc 215","happens. gets there, well calls back tell me, “well we’re going detox new roads. didn’t realize much benzos taking.” like sixteen milligrams day. average dose two four. benzodiazepine withdrawal can quite dangerous wanted put medical facility, hospital, detox. took hospital detox. next day i’m number conversations people new roads being, can’t think right words, belligerent grateful. things expect.",584
"115","doc 217","jbc: right. “we’re sure going work out.” i’m meantime trying find another treatment center telling them, “here’s deal. doesn’t id. here’s insurance. he’s utah now may need move him.” find couple places just case. think week after. weaned suboxone really quickly wanted get vivitrol.",414
"116","doc 219","jbc: used suboxone withdrawal. help detox. wasn’t really suboxone maintenance drug.",117
"117","doc 220","probably worst story. that’s i’m focusing it. one friday i’d boat almost day didn’t take phone. got back like six missed calls new roads messages that, “chance trying leave reason hasn’t left won’t give money that’s commissary account.” whatever call it. put $90 miscellaneous expenses. “the reason we’re able keep won’t give money.” finally talk chance. talk chance he’s like, “mom i’m leaving. tell can give $90.” said, “first you’re leaving. second it’s $90.” he’s like, “well guess i’ll just sleep street.” i’m_like, “no, think you’ll stay there.” goes, “no, it’s already done. already signed out. i’m leaving. they’re going take back.” i’m_like, “yes, are. already talked them. they’re going let stay.” he’s like, “no, i’m staying.” i’m_like, “well, you’re getting $90. hope decide you’re going stay.” hardest thing ever did. know_going stay. kept calling say, “is still there? still there?” was.",1297
"118","doc 222","jbc: had. actually signed out. just thought tell them, “give $90.” i’m sure going buy drugs it. thing going_get hotel room.",195
