"","sentence_id","id","sentence","nchar","doc_id","description","family_experience","treatment_prof","personal_experience"
"70","36",2,"know studies Switzerland study studies big group heroin users problem using controlled way recreational way","107","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"71","37",1,"Realized handle egos present area work slipped sociology","56","Anderson_Greg","Social worker",NA,TRUE,NA
"72","37",2,"case heroin alcohol cocaine","27","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"73","38",1,"Got degree spent summers summer rec program director Mable Canton communities","77","Anderson_Greg","Social worker",NA,TRUE,NA
"74","38",2,"minority people vulnerable genetic reasons growing bad environment vulnerable action psychoactive substances self medicating way probably","137","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"75","39",1,"strong love first love family baseball","38","Anderson_Greg","Social worker",NA,TRUE,NA
"76","39",2,"fault","5","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"77","40",1,"spend lot time following working","32","Anderson_Greg","Social worker",NA,TRUE,NA
"78","40",2,"happens fact avoid","18","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"79","41",1,"kind","4","Anderson_Greg","Social worker",NA,TRUE,NA
"80","41",2,"percent regular users risk","26","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"81","42",1,"got Twin Cities","15","Anderson_Greg","Social worker",NA,TRUE,NA
"82","42",2,"view fact accept","16","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"83","43",1,"married moved worked nursing homes","34","Anderson_Greg","Social worker",NA,TRUE,NA
"84","43",2,"part solidarity owe people stand help judge punish","50","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"85","44",1,"short time activity assistant activity director spent probably years social service director","92","Anderson_Greg","Social worker",NA,TRUE,NA
"86","44",2,"need try help manage vulnerability best possible","48","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"87","45",1,"Basically coordinated admissions discharged planning addressing psychosocial needs nursing home residents nursing home","118","Anderson_Greg","Social worker",NA,TRUE,NA
"88","45",2,"also possible","13","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"89","46",1,"met wife moved","14","Anderson_Greg","Social worker",NA,TRUE,NA
"90","46",2,"story addicted always addicted true either","42","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"91","47",1,"Realized lot job opportunities just sociology degree first graduating class members advanced generalist program MSW program University Minnesota Duluth","151","Anderson_Greg","Social worker",NA,TRUE,NA
"92","47",2,"Addiction dependency state manage","33","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"93","48",1,"basically discontinued MSW program start new program advanced generalist generalist practice standard basic social work advanced education","138","Anderson_Greg","Social worker",NA,TRUE,NA
"94","48",2,"long term studies prospective studies years follow people","57","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"95","49",1,"really enlightening experience really unique school years class individuals basically one worked gerontology","108","Anderson_Greg","Social worker",NA,TRUE,NA
"96","49",2,"also case ask patients treatment","32","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"97","50",1,"else Children Family Services","29","Anderson_Greg","Social worker",NA,TRUE,NA
"98","50",2,"tell abstinent years started use used controllably shifted control use dependent use stopped","92","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"99","51",1,"individuals dealing chemical dependency substance use disorder type things","74","Anderson_Greg","Social worker",NA,TRUE,NA
"100","51",2,"linear development abstinence total catastrophe addiction","57","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"101","52",1,"interest time continued geriatric elderly assisting supporting individuals aging process","88","Anderson_Greg","Social worker",NA,TRUE,NA
"102","52",2,"still quite understand factors contributing people stop years use","65","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"103","53",1,"able assist support families","28","Anderson_Greg","Social worker",NA,TRUE,NA
"104","53",2,"still know","10","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"105","54",1,"aging process evolving process grieving age transition","54","Anderson_Greg","Social worker",NA,TRUE,NA
"106","54",2,"Sometimes think therapy hand kind therapy","41","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"107","55",1,"transition lose certain skills certain access stages life able deal next phase life","83","Anderson_Greg","Social worker",NA,TRUE,NA
"108","55",2,"Addiction therapy","17","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"109","56",1,"gets older currently even realization understanding witnessed experienced early years","85","Anderson_Greg","Social worker",NA,TRUE,NA
"110","56",2,"help people come grips better","29","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"111","57",1,"Got school UMD","14","Anderson_Greg","Social worker",NA,TRUE,NA
"112","57",2,"Sometimes think decided come therapy wanted change come","55","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"113","58",1,"internship Children Family Service time St. Louis County Social Services","72","Anderson_Greg","Social worker",NA,TRUE,NA
"114","58",2,"assist natural process anyways","30","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"115","59",1,"able internship county nursing home","35","Anderson_Greg","Social worker",NA,TRUE,NA
"116","59",2,"reinforce already","17","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"117","60",1,"Finished","8","Anderson_Greg","Social worker",NA,TRUE,NA
"118","60",2,"Yes already want","16","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"119","61",1,"later hired child protection worker","35","Anderson_Greg","Social worker",NA,TRUE,NA
"120","61",2,"quite sure really contribute","28","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"121","62",1,"Commuted year half Hibbing Minnesota","36","Anderson_Greg","Social worker",NA,TRUE,NA
"122","62",2,"think sure help reduce harm","27","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"123","63",1,"mile trip day work","18","Anderson_Greg","Social worker",NA,TRUE,NA
"124","63",2,"sure","4","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"125","64",1,"months first child born opportunity work state Minnesota Minnesota Veteran Home Silver Bay just opened","102","Anderson_Greg","Social worker",NA,TRUE,NA
"126","64",2,"talk harm reduction means physician","35","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"127","65",1,"spent year working admission coordination","41","Anderson_Greg","Social worker",NA,TRUE,NA
"128","65",2,"talking historian last night HIV drug stuff saying realized depending world word harm reduction different meanings","114","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"129","66",1,"lot relationship discharge unclear","34","Anderson_Greg","Social worker",NA,TRUE,NA
"130","66",2,"describe harm reduction means clinic Switzerland","48","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"131","67",1,"Basically kind last phase life veterans veterans spouses meantime program also looking adding Alzheimer dementia unit program","125","Anderson_Greg","Social worker",NA,TRUE,NA
"132","67",2,"point individual depending individual patient","45","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"133","68",1,"year","4","Anderson_Greg","Social worker",NA,TRUE,NA
"134","68",2,"person assist","13","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"135","69",1,"starting train staff looked opening additional forty beds unit Alzheimer group able return Duluth get job Chris Jenson County Nursing Home discharge planner Chris Jensen adding new role rehab unit","196","Anderson_Greg","Social worker",NA,TRUE,NA
"136","69",2,"trying help person use substances controlled way way least risk possible","72","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"137","70",1,"internship experience established nice relationships nursing home happy bring board","83","Anderson_Greg","Social worker",NA,TRUE,NA
"138","71",1,"spent half years nursing home","29","Anderson_Greg","Social worker",NA,TRUE,NA
"139","71",2,"individual harm reduction","25","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"140","72",1,"Came realization loved work Duluth St. Louis County Social Services employer probably rest professional career","110","Anderson_Greg","Social worker",NA,TRUE,NA
"141","72",2,"also political side harm reduction","34","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"142","73",1,"needed come government service center get established","53","Anderson_Greg","Social worker",NA,TRUE,NA
"143","73",2,"try involve political process help get framework adapted harm reduction possible","80","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"144","74",1,"came","4","Anderson_Greg","Social worker",NA,TRUE,NA
"145","74",2,"think politically goals useful way","34","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"146","75",1,"Spent years contract manager","28","Anderson_Greg","Social worker",NA,TRUE,NA
"147","75",2,"useful criminalize users","24","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"148","76",1,"Basically working purchase service contracts various units divisions anywhere children family service group homes home care agencies board lodge programs assisted living programs chemical dependency treatment programs mental health centers","239","Anderson_Greg","Social worker",NA,TRUE,NA
"149","76",2,"causing harm","12","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"150","77",1,"wide variety experiences service areas","38","Anderson_Greg","Social worker",NA,TRUE,NA
"151","77",2,"tried engage harm reduction see adapted","39","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"152","78",1,"April","5","Anderson_Greg","Social worker",NA,TRUE,NA
"153","78",2,"try work rather difficult moment","32","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"154","79",1,"April decided needed change","27","Anderson_Greg","Social worker",NA,TRUE,NA
"155","79",2,"political opposition harm reduction","35","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"156","80",1,"needed experience became adult foster care licenser","51","Anderson_Greg","Social worker",NA,TRUE,NA
"157","81",1,"adult foster care licenser half years based encouragement received supervisors department succession plan iconic adult service supervisor managing mental health chemical dependency services years iconic human services community Duluth St. Louis County","251","Anderson_Greg","Social worker",NA,TRUE,NA
"158","81",2,"Switzerland important process back nineties","43","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"159","82",1,"looking retirement","18","Anderson_Greg","Social worker",NA,TRUE,NA
"160","82",2,"situation bad","13","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"161","83",1,"filled position vacant years took chemical dependency adult protection common entry point represented pay services responsibilities kind evolved switched January supervising chemical dependency services","202","Anderson_Greg","Social worker",NA,TRUE,NA
"162","83",2,"biggest opiate drug scene worldwide","35","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"163","84",1,"first years just supervising services south St. Louis County ended restructuring time","85","Anderson_Greg","Social worker",NA,TRUE,NA
"164","84",2,"made Swiss politicians Swiss society move","41","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"165","85",1,"took supervision St. Louis County north south","45","Anderson_Greg","Social worker",NA,TRUE,NA
"166","85",2,"rocking system","14","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"167","86",1,"Got Rule assessors different offices","36","Anderson_Greg","Social worker",NA,TRUE,NA
"168","86",2,"made pillar policy possible","27","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"169","87",1,"also special project generated county board commitment support try find resolutions opioid epidemic","99","Anderson_Greg","Social worker",NA,TRUE,NA
"170","87",2,"extreme nature problem","22","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"171","88",1,"directing overseeing substance abuse prevention intervention initiatives probably April","87","Anderson_Greg","Social worker",NA,TRUE,NA
"172","88",2,"lot pressure","12","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"173","89",1,"observed opioid crisis","22","Anderson_Greg","Social worker",NA,TRUE,NA
"174","89",2,"Now suffering success approach opiate scene disappeared","55","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"175","90",1,"dealing substance abuse professionally say","42","Anderson_Greg","Social worker",NA,TRUE,NA
"176","90",2,"opiate dependent people seen public anymore","43","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"177","91",2,"problem perceived","17","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"178","92",1,"decade experience seeing happening community","44","Anderson_Greg","Social worker",NA,TRUE,NA
"179","92",2,"politicians society forgotten lessons learned back nineties","59","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"180","93",1,"witnessed","9","Anderson_Greg","Social worker",NA,TRUE,NA
"181","93",2,"problems","8","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"182","94",2,"questions coming continue pay treatments","40","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"183","95",1,"Coming primary substance choice alcohol","39","Anderson_Greg","Social worker",NA,TRUE,NA
"184","95",2,"recession enough money","22","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"185","96",1,"Alcohol still seen number","25","Anderson_Greg","Social worker",NA,TRUE,NA
"186","96",2,"People thinking save money","26","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"187","97",1,"cycles trends changed","21","Anderson_Greg","Social worker",NA,TRUE,NA
"188","97",2,"times start think shortage budgets","34","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"189","98",1,"get later 2000s maybe starting incredible upswing methamphetamine","65","Anderson_Greg","Social worker",NA,TRUE,NA
"190","98",2,"first priority cut budgets minority focus","41","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"191","99",1,"basically dealing different fronts","34","Anderson_Greg","Social worker",NA,TRUE,NA
"192","99",2,"many patients serve year day","28","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"193","100",1,"effect individuals family use also public health crisis dealing manufacturing","77","Anderson_Greg","Social worker",NA,TRUE,NA
"194","100",2,"patients","8","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"195","101",1,"lot money lot resources put","27","Anderson_Greg","Social worker",NA,TRUE,NA
"196","101",2,"running outpatient clinics","26","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"197","102",1,"actually worked collaboration Children Family Services unit Financial Assistance unit working setting shared family program basically mothers parents dealing substance use placed adult foster home actually end dually licensed foster home parent child placed together assist support initial phases recovery process","313","Anderson_Greg","Social worker",NA,TRUE,NA
"198","102",2,"employ staff people","19","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"199","103",1,"lot barriers place state perspective regards funding","52","Anderson_Greg","Social worker",NA,TRUE,NA
"200","103",2,"substitution treatment opiate unclear treatment starting point","62","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"201","104",1,"Funding adults residential services called Group State Residential Housing Program significant effects Minnesota Family Investment Program MFIP","143","Anderson_Greg","Social worker",NA,TRUE,NA
"202","104",2,"founded shortly needle park closed shut","39","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"203","105",1,"using impacts get great detail right now memory kind faded","58","Anderson_Greg","Social worker",NA,TRUE,NA
"204","105",2,"started low threshold opiate substitution treatment time","56","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"205","106",1,"operated years continuing barriers regards getting appropriate level funding getting families accept needing financial assistance standpoint","140","Anderson_Greg","Social worker",NA,TRUE,NA
"206","106",2,"years ago","9","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"207","107",1,"trying put parents recovery children order children away supervised caregiver adult","83","Anderson_Greg","Social worker",NA,TRUE,NA
"208","107",2,"Now evolved active whole field addiction medicine","49","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"209","108",2,"substances","10","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"210","109",1,"Monitoring mentoring types able coordinate different funding streams order make work way imagined","97","Anderson_Greg","Social worker",NA,TRUE,NA
"211","109",2,"’re model opiates","17","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"212","110",1,"got frustrating","15","Anderson_Greg","Social worker",NA,TRUE,NA
"213","110",2,"exact opposite","14","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"214","111",1,"actually come position ongoing discussions past regarding trying parents dealing mental illness","95","Anderson_Greg","Social worker",NA,TRUE,NA
"215","111",2,"transferred harm reduction approach whole addiction treatment","61","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"216","112",1,"continuation","12","Anderson_Greg","Social worker",NA,TRUE,NA
"217","112",2,"proud","5","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"218","113",1,"barriers regards funding streams","32","Anderson_Greg","Social worker",NA,TRUE,NA
"219","113",2,"working hard push approach","26","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"220","114",1,"state worked hard trying get things place relationship efforts reduce homelessness provide permanent support housing services","125","Anderson_Greg","Social worker",NA,TRUE,NA
"221","114",2,"think getting addiction medicine field","38","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"222","115",1,"sure things now changed","23","Anderson_Greg","Social worker",NA,TRUE,NA
"223","115",2,"start slowly understand approach","32","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"224","116",1,"really taken look","17","Anderson_Greg","Social worker",NA,TRUE,NA
"225","117",1,"recent times looking projects relationship harm reduction chronic inebriates face long term homelessness","104","Anderson_Greg","Social worker",NA,TRUE,NA
"226","117",2,"Even","4","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"227","118",1,"program called San Marco basically project modeled several communities state Minnesota also country","99","Anderson_Greg","Social worker",NA,TRUE,NA
"228","118",2,"Yes even","8","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"229","119",1,"Center Alcohol Drug Treatment Center City Housing key players","61","Anderson_Greg","Social worker",NA,TRUE,NA
"230","119",2,"therapist need personal kind evolution","38","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"231","120",1,"St. Louis County Public Health Human Services provided supportive role development","82","Anderson_Greg","Social worker",NA,TRUE,NA
"232","120",2,"remember beginning like Okay doable","35","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"233","121",1,"worked assistance utilizing group residential housing financial assistance benefit provide funding individuals meeting characteristics","134","Anderson_Greg","Social worker",NA,TRUE,NA
"234","122",1,"matter fact year anniversary opening June 22nd","46","Anderson_Greg","Social worker",NA,TRUE,NA
"235","122",2,"abstinent","9","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"236","123",1,"Alcohol consumption call wet house","34","Anderson_Greg","Social worker",NA,TRUE,NA
"237","123",2,"time think just happen","22","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"238","124",1,"extreme","7","Anderson_Greg","Social worker",NA,TRUE,NA
"239","124",2,"got become accept things","24","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"240","125",1,"common term","11","Anderson_Greg","Social worker",NA,TRUE,NA
"241","125",2,"patient","7","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"242","126",1,"kind shifted wet house supportive housing chronic inebriates","60","Anderson_Greg","Social worker",NA,TRUE,NA
"243","126",2,"Accept people come treatment","28","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"244","127",1,"just example collaboration commitment community address","55","Anderson_Greg","Social worker",NA,TRUE,NA
"245","127",2,"respect taking","14","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"246","128",1,"wish still DVD DVD made think years opening called Losers telling story","71","Anderson_Greg","Social worker",NA,TRUE,NA
"247","128",2,"many addiction treatment programs still case","44","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"248","129",1,"bring tears","11","Anderson_Greg","Social worker",NA,TRUE,NA
"249","129",2,"Still much abstinence oriented trying understand values person","62","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"250","130",1,"see find office","15","Anderson_Greg","Social worker",NA,TRUE,NA
"251","130",2,"aim treatment abstinence","24","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"252","131",1,"Law enforcement real want say cynical real concerns putting together basically end DVD moving statement police chief regards program individuals residing positive impact city community","184","Anderson_Greg","Social worker",NA,TRUE,NA
"253","131",2,"just perceiving person human values individual goals","52","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"254","132",1,"harm reduction model","20","Anderson_Greg","Social worker",NA,TRUE,NA
"255","132",2,"point individualized treatment","30","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"256","133",2,"general goals tailoring treatment needs individual patient","58","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"257","134",1,"walk office building look block San Marco","41","Anderson_Greg","Social worker",NA,TRUE,NA
"258","134",2,"important part harm reduction approach","38","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"259","135",1,"West 3rd Street","15","Anderson_Greg","Social worker",NA,TRUE,NA
"260","135",2,"Accepting people concepts","25","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"261","136",1,"actually units","14","Anderson_Greg","Social worker",NA,TRUE,NA
"262","136",2,"one judge right wrong","21","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"263","137",1,"Thirty board watch component inebriates single room units individuals","69","Anderson_Greg","Social worker",NA,TRUE,NA
"264","137",2,"use substances","14","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"265","138",1,"Basically SRO geared Human Development Center community mental health center provide supportive services individuals SRO Center Alcohol Drug Treatment provides services individuals board watch","192","Anderson_Greg","Social worker",NA,TRUE,NA
"266","138",2,"just trying help make best","26","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
"267","139",1,"get back meth saw crisis tried housing situation","48","Anderson_Greg","Social worker",NA,TRUE,NA
"268","139",2,"mind giving background career","29","Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA
