"","ID","paragraphs","nchar"
"35","doc 71","ga: carleton county will receive no financial benefit from the application, but the things that we're doing will allow carleton county residents access to particular things in relationship to drug court and probably the star component in this proposal is the development of a medically monitored opioid withdrawal program through duluth detox. basically it's a six-bed expansion of the duluth detox program, which is managed by the center for alcohol and drug treatment, who collaborated and helped facilitate the san marco program. basically this will be for individuals to go through medical withdrawal with nurses and doctors monitoring. there will be medication that they need. the center for alcohol and drug treatment also has the clear path program, which is a medication assisted treatment program, which utilizes both methadone and suboxone. ",851
"36","doc 72","we went through a significant borderline crisis situation back in i want to say 2013. we had a methadone program, and i don't want to get sued for what i'm about to say, but we had a methadone program called lake superior treatment center. basically they were going through significant concerns and issues in relationship to meeting licensing. state rule 31 licensing requirements. i want to say it was either in 2012 or 2013 their license was revoked, which put the state of minnesota in a crisis situation because they were one of five or six programs under the same company based out of state. in the state of minnesota when a license is revoked it is revoked for all programs under the parent company. if they would have closed lake superior treatment center they would have ended up closing i think three or four programs in the twin cities, one in st. cloud, and one in rochester. ",887
"37","doc 75","ga: yeah, there was a long list, but things are set up where if a provider appeals the revocation they can maintain operation through the appeal process. the appeal process went through about a two plus year time period. during the initial onset of this we were meeting with the department of human services state contingency plans if something ended up playing out and the program was closed. as a result through collaboration with the oars group st. louis county put out an rop for a community based treatment program. we received a number of proposals. we ended up doing personal or presentations by three finals in the area and we basically ended up reviewing and choosing the center for alcohol and drug treatment. gary olson, the ceo, had been talking about putting something together four or five years prior to this piece, so this raised the level of need. gary and the center are just so reflective of the collaboration and the efforts to do things. ",959
"38","doc 77","ga: he's from here. it's a non-profit. he's the chief executive officer that's been working and dealing with this stuff for thirty plus years. ",143
"39","doc 79","ga: yes. focusing on community needs. gary is very adamant about this being a public health issue because it has such an impact on individuals' families in the overall community. it's very reflective of what we are trying to do as the oars group. ",247
"40","doc 83","ga: yeah. we meet every two months. our next meeting is june 15th. if your calendar allows you can certainly—i can send you an appointment. we meet on the second floor. it's a really exciting time. based on what was sent out in relationship to the grant proposal we might be hearing tomorrow on whether or not—they were talking twenty-one days. it's such a tight timeline. the state submitted their plan in january, and basically these programs are supposed to be running by july 1st. basically the awards have to be done and then the contract and negotiation piece between the awardees and dhs. they basically have the contract signed and get things in place on july 1st. it's been a real interesting process. ",711
"41","doc 85","ga: a rapid response for overdose victims. we're collaborating with duluth police, the lake superior drug and violent crime task force. jeff kazel can give you a lot more detail with that. what we are doing through this particular piece we are looking at an expansion of narcan or naloxone access. being able to provide naloxone or narcan and training to use that substance. the target is all law enforcement agencies throughout st. louis county. i think sometimes i get lost in the details—i'm not sure if that's also going to possibly include other emergency responders, but definitely all law enforcement agencies throughout st. louis county. ",646
"42","doc 86","we're going to be partnering through our substance use prevention intervention initiative our social workers to provide rapid response in regard to follow up support. we're going to try to get out and see the individual in one or two days. if it's a friday evening we probably wouldn't be able to do anything until monday. being able to get out to the individual, provide them a rule 25 assessment, which is the first step in access in treatment, and provide other alternatives or supports that may be applicable or necessary. trying to establish that contact as early on as possible to get things in place to provide support. ",627
"43","doc 88","ga: we're hoping that this will be a nice fit in regards to the detox expansion. the thing is we all know the need is going to exceed the supply, but duluth detox will be able to bring individuals in and provide a place for them to stay so they can get in the program. gary olson and duluth detox is going to be working with north st. louis county range detox in virginia [minnesota] being able to go into range detox and staying at range detox until they are going to be able to be brought out to the duluth detox program. we'll be working on other ways, too. if possible openings are available. there have been discussions about transportation to and from ely and bringing people down. ",688
"44","doc 89","the thing that gets lost with st. louis county is geographically it is bigger than three states within the mainland. we've got a large geographical area. another thing too, which we're reminded on a regular basis too, is that st. louis county is so massive we're dealing with services and issues related to both urban and rural settings. we need to be able to understand and put things in place to address things for both areas. it helps me having grown up on a small farm to be able to better connect and understand some of those things. there are always discussions about, ""this happens here. that happens there."" “shouldn't it be the same?” well, you've got an apple and you've got an orange. we can't make orange juice with an apple. we can't make apple pie with an orange. although we can have apple juice and orange juice. may not have been a great metaphor. ",865
"45","doc 91","ga: it needs to be a community effort, and that's why we've got who we've got in the oars group. it's been so well documented throughout the past four or five years from law enforcement and judicial legal system we can't arrest ourselves out of this problem. we need to address this from both a prevention and intervention standpoint. we need to provide the support and services for those individuals dealing with the addiction, and we need to be able to outreach and provide education and support for the community so they have a better understanding of what addiction is, what the substances, the drugs, can do to an individual, and in the process also communicate the fact that individuals are not dealing with this by choice. they are dealing with this because they are afflicted with a disease. ",800
"46","doc 92","one of the key points we are trying to work on on a constant basis is the stigma. we need to be able to remove the stigma associated with chemical dependency and addiction. there is a similar effort that needs to be done in regards to mental health. with the stigma it is very hard for an individual to come up and say, ""i'm addicted to heroin. i need help,"" because there are so many signs and reactions from people like, ""oh, get out of here. you're not worth anything. you're doing this because you want to. you're making bad choices because you want to. just get out of here. i don't have time to help you."" that type of thing. ",632
"47","doc 93","i think there has been some progress made. just through discussions and experiences, and fortunately i don't have first-hand experience with this. i've been blessed so far with my own family. in listening to others they've seen what's going on with others, their spouse, their child, or their sibling, and they see and understand the fact that they're not doing this by choice. through that—that just amplifies the importance of the support groups such as nar-anon that verne wagner is so involved with because it's through those mutual experiences that people share. it ends up being a snowball that we like to have because good things are going to grow through the passing of this information and communication. we need to address things both from prevention and intervention and prevention. we're not going to solve a lot just by addressing one thing. we are reactive instead of proactive and we have to be both. ",916
"48","doc 95","ga: i've basically learned on the job. through life experience, too. in my younger days when i was down in the twin cities and the more social active lifestyle i was in relationships with individuals that started out great and then all of a sudden it was like a, b, c, and d. this isn't good. ended up leaving a relationship and getting into another relationship and all of a sudden the same thing starts happening. and it's like, wow. the interesting piece—i established a good friendship with one particular individual in grad school who was a part of the cd [chemical dependency] group in a veteran's hospital. listening to his stories on individuals and the dynamics that were tied in relationship to addiction. hearing that kind of explained my earlier life experiences. ",776
"49","doc 96","basically through the work. it doesn't matter if you're doing child protection or working with the elderly: chemical dependency and addiction is going to be part of your work. one of the things we are working on from a department standpoint through our substance abuse prevention intervention initiative is attempting to put substance use disorder training as a core training function for new social workers, new employees coming into the department. we're not there yet, but we're getting much closer. we have a wonderful training department within st. louis county. we've done a lot of work with them basically getting quarterly trainings set up. parental substance use disorder, the abc's of addiction. we do sbir [screening, brief intervention, and referral] training—which is brief intervention and referral to treatment—which is a screening piece that can be done by anybody. you don't need a ph.d. or a master's. you don't need a college education to be able to do this. basically it's being able to ask some open ended questions and allow an individual to share and be able to listen to their own situation and develop their own enlightenment to the risks that are involved. where the individual is at it can be as easy as saying, well, you need to get someone to drive you home at night. or, i have some phone numbers for you to call. i think it would be really good for you to get an assessment to see possibly if you might be eligible or if chemical dependency treatment might be a good direction for you to go. ",1523
"50","doc 98","ga: it's a tough and very uncomfortable conversation, which is conflicting with values that have been installed with us. ",121
"51","doc 100","ga: absolutely. part of our program, what i'll call the 'sappy program' is we're trying to get, and we still have to do some work on this, basically being able to—we've had some experiences with school districts throughout st. louis county. we've worked on trying to provide some support, sbir training, to employment agencies. ",328
"52","doc 102","ga: screening, brief intervention, referral to treatment. referral to treatment isn't necessarily going to chemical dependency treatment, but it's referring services. you can find a lot of information on sbir. it was a best practice established in ers, not necessarily for substance abuse. it can be a very useful tool. it's something we encourage. we've done sbir training now for over two years now within st. louis county for social workers, probation officers, public health nurses. ",487
"53","doc 104","ga: trying to expand a professional or personal toolbox. ",57
"54","doc 106","ga: it's contagious. basically the energy and the commitment of the others that i work with have and display regarding this. you can take some credit for that too with this interview. i've been in situations where you're talking to someone but you're really not sure the purpose and intent, and you get a little guarded and concerned about how you are saying it. matt johnson, one of our social workers, and i did a fifteen minute radio piece with kdal 610 last wednesday. tom hanson, who was the radio person that we were working with, and he was bouncing in and out of weather and international news and local news and that type of thing, but he went out of his way just for conversation to establish a more personal type of atmosphere. once things started—it doesn't often happen but matt and i got done with that interview and we felt really good about what we're doing, what we said, what we communicated. ",911
"55","doc 108","ga: it's important. any time we get the chance to share what we're doing for others to experience or read it's an expansion or an extension to what we're doing. we've got an information card that we're going to start producing. law enforcement will have it at raan [rural aids action network] where basically for individuals it's kind of on two sides—it's resources: range treatment center, center for alcohol and drug treatment, united way 211 information and referral. that's a key piece. on the inside we're going to have risk reduction points: always use a clean needle, don't use with—harm reduction safety points. i'm blanking on some of the key points. i'll forward you some of the stuff. the minnesota department overdose reports.  ",740
"56","doc 115","chanhassen, minnesota",21
"57","doc 116","janie bining colford-jbc",24
"58","doc 121","jbc: sure. janie bining colford, and i give permission for you to record this. ",79
"59","doc 123","jbc: sure. i grew up in the country outside of cincinnati, ohio on a farm. it was mostly a grain farm, but we had cows and pigs and chickens. i was one of three girls. although i do have a half-brother from an affair my father had. a pretty normal farm girl childhood. i went to claremont northeastern high school. i have a horticulture degree and worked in the horticulture field for a number of years. then moved to minnesota and worked, i think i was twenty-one maybe, when i moved to minnesota. i worked for a landscape, lawn care company in roseville. albrecht landscaping, actually. just did that for the summer. decided that horticulture wasn’t really a good year-round thing in minnesota. so i started working for prudential.",733
"60","doc 124","i came here—actually this is maybe key to the story. i came to be in minnesota because a guy that i met while in college, that i was sort of engaged to, although i think it was more kind of a fling, he came here for chemical dependency training. after he got out of treatment he stayed here. i moved here and we lasted maybe a month. another guy that he lived with, that also had been in treatment, he and i started dating. we ended up getting married and having two kids. my ex-husband is the father of my two older boys. he was in recovery for a number of years, although now he drinks and smokes. as far as i know that’s all. ",629
"61","doc 125","i don’t know what else you want to know. i was twenty-five or twenty-six when i had my oldest son. then two years later had chance. now i have three other children with my second husband.",187
"62","doc 127","jbc: i think i got married in 1989. we got divorced in 1997. we split up in 1983.",81
"63","doc 129","jbc: ‘93. yes, ’93, so not very long. [laughs].",47
"64","doc 131","jbc: no, i had for probably a year and a half—i had them during the week and every other weekend he had them. then we switched to i had them for a week and he had them for a week. he moved to the same town that i was in. so we were able to make that work, same school district and everything. [side conversation]. ",314
"65","doc 132","[recording resumes after break]",31
"66","doc 133","so we did week to week for the boys, which worked out well for the most part. although different parenting styles in each house i’m sure was one of our biggest challenges. the fact that the boys stepmother, who was very controlling and very much wanted to be their real mom, made it a little bit difficult. anyways, we did that pretty much up until they were out of high school. probably at least until the older one was. when chance—he’s the one with substance abuse disorder—when he was in high school he started using. maybe even before then. when we started to become aware of that that was when he was in high school. i think it was his senior year that my husband, my current husband, did a fellowship at the mayo clinic in jacksonville, florida. we had to move down there. we moved to jacksonville beach for a year. chance was going to stay here with his dad and finish high school. then he never quite made it to his senior year because he had a dui. i shouldn’t say he didn’t make it to his senior year. he didn’t make it back to champlin park high for his senior year. he went to some alternative sober high school. in january of his senior year, which would have been 2008, he moved to jacksonville beach to live with me and my husband. at the time it was just emma. so he went down there and he got into the public school down there and finished high school. ",1371
"67","doc 135","jbc: what i knew was that he was smoking weed. i did not know that he was drinking alcohol and doing other drugs, which apparently he was. i didn’t really think it was a big deal. [side conversation].",200
"68","doc 136","[recording resumes after break]",31
"69","doc 138","jbc: it did, except there were a couple times when he was in trouble with the police. he was smoking weed in a public park and he got picked up. we did what we thought was the right thing at the time, which was send him to do an assessment and then just an outpatient treatment. he went to anthony louis center. we just kind of monitored him. probably didn’t have my eyes wide open at the time because according to him he was doing many other things besides marijuana that was not obvious to me. ",496
"70","doc 139","i earlier said that he came down to florida to live with us. that really came about because right before senior year started he was picked up for a dui. he went back to treatment at that time, back to anthony louis this time as an inpatient. that was when i was in florida.",273
"71","doc 141","jbc: it’s in anoka i think.",27
"72","doc 143","jbc: they have on-belay house, which is in plymouth, so it’s part of that whole group. anyway, he did that and he went to anthony louis center. then he went into sober school. i forget which one. he’s been to like three of them around here. that may or may not be in existence now. then he started using again. he went back to anthony louis center for a third time probably within like a year and half period. went right from there to on-belay house, which is a halfway house, or transitional house, in plymouth. he was going to a sober high school and got kicked out of there. not for using, but for attitude. imagine that, an addict with an attitude.",652
"73","doc 145","jbc: he got kicked out of there. his dad would not let him back in his house.",77
"74","doc 147","jbc: i was in florida and this was winter. his dad took him around all the homeless centers one night. they were full. this is a seventeen-year-old boy. i guess he was playing the tough love card. nobody had any room at the inn. [laughs] so he ended up couch surfing for a few days. ",283
"75","doc 148","then we bought him a ticket to come down to florida, which was an experience because he got down there and we immediately got him enrolled in the high school. i’d come to find out he needed like one class. this was january into his senior year and he’d been to school maybe cumulatively three weeks out of that whole senior year so far. he only needed one class to finish up school in florida. we made him take a full load and he got a job at the local, little pizza shop down there. again, kind of eyes half closed, he got into drugs down there and was drinking. keeping it relatively secret—not so bad that it became obvious. until a couple months before we moved back here. his boss caught him sneaking beer while at work from the tap. confronted him about it and addressed it and then he kept his job. he was better at sneaking the beer i guess. am i rambling too much?",873
"76","doc 150","jbc: so we came back here—this was 2008. he graduated from neptune fletcher high school, or something, down there. it was in jacksonville beach. that was like in may. in july of that year we moved back up here to minnesota. at the time we lived in champlin. he got a job and he started community college. things were going okay. ",329
"77","doc 152","jbc: yes, he was living with me and my husband. by now i was pregnant with the twins. that went on, and i’m sure he was using and drinking a little bit. it didn’t seem out of control. he was, like i said, working. he was going to school. he was getting good grades. ",266
"78","doc 153","then it was august in 2001 when he went out to new york with his dad and stepmom and brother to his cousin’s wedding. while he was there he was talking to his cousins. apparently he told one of his cousins that he was using heroin. the uncle, the cousin’s dad, overheard this and told my ex-husband. then john, the dad of the cousin, my ex-husband’s brother, called me to tell me. we just weren’t sure how to address this. we didn’t know what to do. we had never in our wildest dreams thought he would be using heroin. apparently he was unique in that he never used prescription drugs. ",586
"79","doc 155","jbc: he just went straight to heroin. i want to say probably went straight to injecting. we decided that he was such a good negotiator and such a good liar that if we just tried to talk to him without support we wouldn’t be successful. we hired an interventionist from somewhere in ohio. her name was jane metts. she came out and we did some planning. we decided on promises rehab center out in california. we had this big thing worked out. the morning of it my husband and i kind of made up some, “we’re going somewhere,” you know, and got chance. it was at his dad’s house. we had someone watching the little kids at my house. we got him over there. i’d already had a bag packed assuming this would all go his way. we do this intervention and then jane said, “you’ve heard from your mom and dad. we’ve got this treatment center.” the director the treatment center had flown out. she was there. this cost us a lot of money. [laughs]. “you’ve heard all this and we’ve got this treatment center, promises, is all picked out for you, they’re ready for you.” i can’t remember her name now. “she’s going to fly back with you.” patricia. patricia meyers. “so what do you think?” he goes, “well what are my other options?” jane said to him, “you don’t have any other options.” he said, “okay, well then i guess i’ll go.” so he went, did ninety days at promises.",1355
"80","doc 157","jbc: yes. he was always, and always has been, and still is very forthcoming once you confront him. once you get him to start talking about it. he’ll do the whole denial thing like, “what are you talking about?” ",211
"81","doc 158","[resumes after break in recording]",34
"82","doc 159","he’s always, once you kind of get past the bullshit, then pretty open about his use. has generally, when push comes to shove and it’s time to go to treatment, he goes. he’s been in inpatient treatment eleven times.",214
