"","ID","sentences","nchar"
"129","doc 145","oars came first interesting take opioid crisis thinking substance_abuse prevention intervention broadly",171
"130","doc 146","true think fair",42
"131","doc 147","basically looking necessarily coordinated services here decided expand include substance rather just opioids yeah",196
"132","doc 148","focus opioid piece",51
"133","doc 149","called expedited rule assessments children family services",83
"134","doc 150","incredibly high rate home placement",56
"135","doc 151","kids foster care licensed facilities programs related parental substance",95
"136","doc 152","parent parents come risk losing children",81
"137","doc 153","borderline crisis crisis",42
"138","doc 154","willing wanting assessment oftentimes right workers available either matt johnson marsha gertel",155
"139","doc 155","also social worker north saintlouis_county",55
"140","doc 156","based hibbing able exactly next",92
"141","doc 157","happens quickly find rustling papers",76
"142","doc 158","minnesota department health together annual probably forward minnesota department health basically data statistics overdoses minnesota",187
"143","doc 160","basically broken things saintlouis_county 2015",70
"144","doc 161","2016 statistics coming point 2015 right",94
"145","doc 162","take look overdoses related opioids this based admissions licensed chemical_dependency treatment programissit necessarily dealing individuals admissions people might three times year yeah well know personal experience talk climate collaboration cooperation think duluth good think factors know something drinking water",546
"146","doc 163","mean something witnessed first came community 1987 just something just part culture value able work together support even_though agree various items values life",286
"147","doc 164","common purpose problem needs solved push differences aside work jointly collaborative fashion",151
"148","doc 165","submitted grant proposal department human services approximately million dollars state targeted response opioid crisis",156
"149","doc 166","state minnesota received million dollars 2017 2018 legislation pushed supported hard senator klobuchar address opioid crisis rural communities state five million yeah",262
"150","doc 167","million rural yeah",46
"151","doc 168","send powerpoint handouts give even information just turned submitted april 28th 2017",175
"152","doc 169","saintlouis_county public health human service submitted proposal lead partner consortium duluth police department lake superior drug violent crime task force rural aids action network center alcohol_drug treatment university minnesota duluth school pharmacy judicial district drug courts carleton county public health human service saintlouis carleton county carleton county receive financial benefit application things allow carleton county residents access particular things relationship drug court probably star component proposal development medically monitored opioid withdrawal program duluth detox",778
"153","doc 170","basically expansion duluth detox program managed center alcohol_drug treatment collaborated helped facilitate marco program",187
"154","doc 171","basically individuals medical withdrawal nurses doctors monitoring",106
"155","doc 172","medication need",39
"156","doc 173","center alcohol_drug treatment also clear path program medication assisted treatment program utilizes methadone suboxone went significant borderline crisis situation back want 2013",254
"157","doc 174","methadone program want sued methadone program called lake superior treatment_center",152
"158","doc 175","basically going significant concerns issues relationship meeting licensing",102
"159","doc 176","state rule licensing requirements",36
"160","doc 177","want either 2012 2013 license revoked state minnesota crisis situation five programs company based state",213
"161","doc 178","state minnesota license revoked revoked programs parent company",107
"162","doc 179","closed lake superior treatment_center ended closing think three four programs twin cities saintcloud rochester",180
"163","doc 180","section omitted place licensing issue monitoring methadone yeah long lisaintbut things provider appeals revocation maintain operation appeal process",268
"164","doc 181","appeal process went plus year time period",65
"165","doc 182","initial onset meeting department human services state contingency plans something ended playing program closed",171
"166","doc 183","result collaboration oars group saintlouis_county community based treatment program",126
"167","doc 185","ended personal presentations three finals area basically ended reviewing choosing center alcohol_drug treatment",162
"168","doc 186","gary olson talking putting something together four five_years prior piece raised level need",143
"169","doc 187","gary center just reflective collaboration efforts things here owns",145
"170","doc 189","chief executive officer working dealing stuff thirty plus years picked someone also reflects community itself",177
"171","doc 191","gary adamant public health issue impact individuals families overall community",139
"172","doc 192","reflective trying oars group oars yeah keep people hands issue around table yeah",190
"173","doc 195","calendar allows certainly send appointment",71
"174","doc 198","based sent relationship grant proposal might hearing tomorrow whether they talking twenty days",145
"175","doc 200","state submitted plan january basically programs supposed running july 1saintbasically awards done contract negotiation piece awardees",222
"176","doc 201","basically contract signed things place july 1saintit real interesting process saying things includes beds managed detox",198
"177","doc 202","parts think special particular rapid response overdose victimisswe collaborating duluth police lake superior drug violent crime task force",209
"178","doc 203","jeff kazel give detail",51
"179","doc 204","particular piece looking expansion narcan naloxone access",107
"180","doc 205","able provide naloxone narcan training substance",75
"181","doc 206","target enforcement agencies throughout saintlouis_county",71
"182","doc 207","think sometimes lost details sure also going possibly include emergency responders definitely enforcement agencies throughout saintlouis_county going partnering substance prevention intervention initiative social workers provide rapid response regard follow support",366
"183","doc 208","going individual days",71
"184","doc 209","friday evening probably able anything monday",81
"185","doc 210","able individual provide rule assessment first step access treatment provide alternatives supports applicable necessary",202
"186","doc 211","trying establish contact early possible things place provide support filling enough resources enough people treat quickly hoping nice regards detox expansion",286
"187","doc 212","thing know need going exceed supply duluth detox able bring individuals provide place stay program",186
"188","doc 213","gary olson duluth detox going working north saintlouis_county range detox virginia minnesota able range detox staying range detox going able brought duluth detox program",254
"189","doc 216","discussions transportation bringing people down thing gets lost saintlouis_county geographically bigger three states within mainland",208
"190","doc 218","another thing reminded regular basis saintlouis_county massive dealing services issues related urban rural settings",183
"191","doc 219","need able understand things place address things areas",89
"192","doc 220","helps grown small farm able better connect understand things",108
"193","doc 221","always discussions about this happens",54
"194","doc 222","happens there shouldn same well apple orange",99
"195","doc 223","make orange juice apple",40
"196","doc 224","make apple orange",38
"197","doc 225","although apple juice orange juice",49
"198","doc 226","great metaphor ideal world stand today think crisis solved vantage point someone figuring money coming going",233
"199","doc 227","solved anytime soon needs community effort oars group",138
"200","doc 228","well documented throughout past four five_years enforcement judicial legal system arrest problem",160
"201","doc 229","need address prevention intervention standpoint",74
"202","doc 230","need provide support services individuals dealing addiction need able outreach provide education support community better understanding addiction substances drugs individual process also communicate fact individuals dealing choice",393
"203","doc 231","dealing afflicted disease points trying work constant basis stigma",151
"204","doc 232","need able remove stigma associated chemical_dependency addiction",89
"205","doc 233","similar effort needs done regards mental_health",75
"206","doc 234","stigma hard individual come addicted heroin",93
"207","doc 235","need help many signs reactions people_like",98
"208","doc 237","want",37
"209","doc 238","making choices want",45
"210","doc 240","time help type thing think progress made",94
"211","doc 241","just discussions experiences fortunately first hand experience",102
"212","doc 242","blessed family",43
"213","doc 243","listening others seen going others spouse child sibling understand fact choice",184
"214","doc 244","that that just amplifies importance support groups anon verne wagner involved mutual experiences people share",188
"215","doc 245","ends snowball like good things going grow passing information communication",144
"216","doc 246","need address things prevention intervention prevention",78
"217","doc 247","going solve just addressing thing",59
"218","doc 248","reactive instead proactive both come education around chemical_dependency school learned basically learned",224
"219","doc 250","younger days twin cities social active lifestyle relationships individuals started great sudden like",205
"220","doc 252","ended leaving relationship getting another relationship sudden thing starts happening",121
"221","doc 254","interesting piece established good friendship particular individual grad school part chemical_dependency group veteran hospital",176
"222","doc 255","listening stories individuals dynamics tied relationship addiction",100
"223","doc 256","hearing kind explained earlier life experiences basically work",87
"224","doc 257","matter child protection working elderly chemical_dependency addiction going part work",146
"225","doc 258","things working department standpoint substance_abuse prevention intervention initiative attempting substance disorder training core training function social workers employees coming department",273
"226","doc 259","getting much closer",50
"227","doc 260","wonderful training department within saintlouis_county",64
"228","doc 261","done work basically getting quarterly trainings",79
"229","doc 262","parental substance disorder addiction",55
"230","doc 263","sbir screening brief intervention referral training which brief intervention referral treatment which screening piece done anybody",174
"231","doc 266","need college education able",56
"232","doc 267","basically able open ended questions allow individual share able listen situation develop enlightenment risks involved",203
"233","doc 268","individual easy saying well need someone drive home night",112
"234","doc 269","phone numbers call",45
"235","doc 270","think really_good assessment possibly might eligible chemical_dependency treatment might good direction education just professionals everyone seem sorely lacking public education around substance",326
"236","doc 271","reminds education political gets disservice young growing sexual beings tough uncomfortable conversation conflicting values installed trust people make decisions health absolutely",352
"237","doc 272","part program call sappy program trying still work this basically able experiences school districts throughout saintlouis_county",224
"238","doc 273","worked trying provide support sbir training employment agencies sbir screening brief intervention referral treatment",154
"239","doc 274","referral treatment necessarily going chemical_dependency treatment referring services",107
"240","doc 275","find information sbir",41
"241","doc 276","best practice established necessarily substance_abuse",78
"242","doc 279","done sbir training years within saintlouis_county social workers probation officers public health nurses people contact human beings trying help trying expand professional personal toolbox thank",284
"243","doc 281","really appreciate heart seem",55
"244","doc 282","think_people buildings state jobs county jobs credit heart",122
"245","doc 283","even_though writing grants stuff heart contagious",106
"246","doc 284","basically energy commitment others work display regarding",102
"247","doc 285","take credit interview",57
"248","doc 286","situations talking someone really sure purpose intent little guarded concerned saying",177
"249","doc 287","matt johnson social workers fifteen minute radio piece kdal last wednesday",108
"250","doc 288","hanson radio person working with bouncing weather international news local news type thing went just conversation establish personal type atmosphere",264
"251","doc 289","things started often happen matt done interview felt really_good doing said communicated really_good work",198
"252","doc 290","really happy chance come here important",72
"253","doc 291","time chance share others experience read expansion extension",139
"254","doc 292","information card going start producing",65
"255","doc 293","enforcement raan rural aids action network basically individuals kind sides resources range treatment_center center alcohol_drug treatment united information referral",241
"256","doc 295","inside going risk reduction points always clean needle with harm_reduction safety points",127
"257","doc 296","blanking points",38
"258","doc 298","minnesota department overdose reports thank",58
"259","doc 300","janie bining colford narrator sullivan interviewer june 2016 chanhassen minnesota janie bining colford sullivan sullivan",156
"260","doc 301","janie bining colford home chanhassen",55
"261","doc 302","june think janie state name give_permission record interview sure",141
"262","doc 303","janie bining colford give_permission record",66
"263","doc 305","just start talking little childhood grew went college just_kind give little life background sure",176
"264","doc 306","grew country outside cincinnati ohio farm",62
"265","doc 307","mostly grain farm cows pigs chickens",65
"266","doc 309","although half brother affair father",62
"267","doc 311","went claremont northeastern high_school",44
"268","doc 312","horticulture degree worked horticulture field number years",87
"269","doc 313","moved minnesota worked think twenty maybe moved minnesota",93
"270","doc 314","worked landscape lawn care company roseville",56
"271","doc 317","decided horticulture wasn really_good year round thing minnesota",76
"272","doc 318","started working prudential came here actually maybe story",88
"273","doc 319","came minnesota college sort engaged although think kind fling came chemical_dependency training",191
"274","doc 320","treatment stayed",44
"275","doc 321","moved lasted maybe month",40
"276","doc 322","another lived with also treatment started dating",88
"277","doc 323","ended getting married kids",47
"278","doc 324","husband father older boys",48
"279","doc 325","recovery number years although drinks smokes",75
"280","doc 327","know else want know",40
"281","doc 328","twenty five twenty oldest",56
"282","doc 330","three children second husband long married older father think married 1989",151
"283","doc 332","split 1983 mean",50
"284","doc 334","laughs single parenting boys while probably year_half week every weekend",170
"285","doc 335","switched week week",68
"286","doc 336","moved town",39
"287","doc 337","able make work school district everything",70
"288","doc 339","recording resumes break week week boys worked well part",109
"289","doc 340","although different parenting styles house sure biggest challenges",92
"290","doc 341","fact boys stepmother controlling much wanted real made little difficult",133
"291","doc 342","anyways pretty_much high_school",70
"292","doc 343","probably least older",41
"293","doc 344","chance substance_abuse disorder when high_school started using",98
"294","doc 346","started become aware high_school",75
"295","doc 347","think senior_year husband current husband fellowship mayo clinic jacksonville florida",128
"296","doc 349","moved jacksonville beach year",41
"297","doc 350","chance going stay finish high_school",65
"298","doc 351","never quite made senior_year",67
"299","doc 352","shouldn didn make senior_year",52
"300","doc 353","didn make back champlin park high senior_year",64
"301","doc 354","went alternative sober high_school",45
"302","doc 355","january senior_year 2008 moved jacksonville beach live husband",120
"303","doc 357","went public school finished high_school",91
"304","doc 358","first started noticing problems high_school approach mother towards problems knew smoking weed",184
"305","doc 359","know drinking alcohol_drugs apparently",90
"306","doc 360","didn_really think deal",39
"307","doc 361","side conversation recording resumes break saying weren concerned smoking",121
"308","doc 362","seemed kind within normal teen parameters except couple times trouble police",133
"309","doc 363","smoking weed public park picked",57
"310","doc 364","thought right thing time send assessment just outpatient treatment",132
"311","doc 367","probably didn eyes wide open time according many things besides marijuana obvious",151
"312","doc 368","earlier said came florida live",60
"313","doc 369","really came right senior_year started picked",90
"314","doc 370","went_back treatment time back anthony louis time inpatient",87
"315","doc 371","florida anthony louis around here anoka think okay never heard belay house plymouth part whole group",226
"316","doc 372","anyway went anthony louis center",55
"317","doc 375","like three around",43
"318","doc 376","existence",39
"319","doc 378","went_back anthony louis center third time probably within like year_half period",97
"320","doc 379","went right belay house halfway house transitional house plymouth",101
"321","doc 380","going sober high_school kicked",63
"322","doc 382","imagine that addict attitude teenager attitude",80
"323","doc 383","imagine kicked",40
"324","doc 384","back house florida florida winter",111
"325","doc 385","took around homeless centers night",58
"326","doc 388","guess playing tough love card",42
"327","doc 390","laughs ended couch surfing days",52
"328","doc 391","bought ticket come florida experience immediately enrolled high_school",158
"329","doc 392","come find needed like class",45
"330","doc 393","january senior_year school maybe cumulatively three weeks whole senior_year",129
"331","doc 394","needed class finish school florida",55
"332","doc 395","made take full load local little pizza shop",88
"333","doc 396","again kind eyes half closed drugs drinking",78
"334","doc 397","keeping relatively secret became obvious",62
"335","doc 398","couple months moved_back",47
"336","doc 399","boss caught sneaking beer work",60
"337","doc 400","confronted addressed kept",65
"338","doc 401","better sneaking beer guess",42
"339","doc 402","rambling much",38
"340","doc 403","point start worse came_back here this 2008",81
"341","doc 404","graduated neptune fletcher high_school something",72
"342","doc 407","july year moved_back minnesota",55
"343","doc 409","started community college",45
"344","doc 411","living living husband",75
"345","doc 412","pregnant twins",36
"346","doc 413","went sure using drinking little",65
"347","doc 418","august 2001 went york stepmom brother cousin wedding",117
"348","doc 419","talking cousins",48
"349","doc 420","apparently told cousins using heroin",62
"350","doc 421","uncle cousin overheard told husband",66
"351","doc 422","john cousin husband brother called tell",79
"352","doc 423","just weren sure address",40
"353","doc 425","never wildest dreams thought using heroin",67
"354","doc 426","apparently unique never used prescription drugs",65
"355","doc 427","just went straight just went straight heroin",74
"356","doc 428","want probably went straight injecting",49
"357","doc 429","decided good negotiator good liar just tried talk without support wouldn successful",145
"358","doc 430","hired interventionist somewhere ohio",50
"359","doc 432","came planning",37
"360","doc 433","decided promises rehab center california",53
"361","doc 435","morning husband kind made some going somewhere know chance",106
"362","doc 437","someone watching little kids house",51
"363","doc 439","already packed assuming",63
"364","doc 440","intervention jane said heard",79
"365","doc 441","treatment_center director treatment_center flown",81
"366","doc 445","heard treatment_center promises picked they ready remember name",150
"367","doc 446","going_back patricia",44
"368","doc 448","think goes well options jane said options said_okay well guess went ninety days promises first_time talked heroin admit point",315
"369","doc 449","always always been still forthcoming confront",87
"370","doc 450","start talking",42
"371","doc 451","whole denial thing like what talking about resumes break recording always kind past bullshit pretty open",187
"372","doc 452","generally push comes shove time treatment goes",81
"373","doc 453","inpatient treatment eleven times eleven eleven times",76
"374","doc 454","times saying this option couple times asked back",100
"375","doc 456","kind stuff want hear went promises",82
"376","doc 457","promises ninety days went structured sober living house venice",98
"377","doc 458","west promises malibu",46
"378","doc 460","think five months sober living place called casa oeste great place",119
"379","doc 461","another moved apartment",75
"380","doc 462","think twenty nine time",50
"381","doc 464","didn_know little",38
"382","doc 465","died drug overdose septic shock intravenous needles",93
"383","doc 467","chance initiated going_back point sober living house just back house back treatment point",137
"384","doc 468","seemed work just fine",89
"385","doc 469","stayed another four months",39
"386","doc 470","working golf shop playing golf wasn working whole recovery thing",118
"387","doc 473","know ever recovery time using",86
"388","doc 475","time relapsed moved sober living house living people recovery long_term recovery belt still venice",177
"389","doc 476","found using called know asking move",103
"390","doc 480","street days went_back promises",69
"391","doc 481","didn stay whole ninety days",36
"392","doc 483","moved girlfriend really girlfriend became know right word using much",164
"393","doc 487","trying remember",36
"394","doc 490","convinced morning plane",46
"395","doc 491","came_back detox went straight airport detox treatment",92
"396","doc 492","relapsed just_kind",45
"397","doc 493","went couple treatment places",41
"398","doc 494","wasn living here renting roomissdid sober living house little",86
"399","doc 495","ended going utah treatment",48
"400","doc 496","came_back here went_back utah",46
"401","doc 497","there just treatment treatment treatment",56
"402","doc 499","treatments ninety days ninety days",69
"403","doc 500","went hazelden somewhere",46
"404","doc 501","went couple different places",41
"405","doc 503","different sober living homes",41
"406","doc 504","managing point point mean treatments involved finding time time coordinating what role mother point",267
"407","doc 505","almost always looking place finding arranging intake assessment",105
"408","doc 507","never rule kind_thing",47
"409","doc 508","part wonders disadvantage always",87
"410","doc 509","mean making phone calls",48
"411","doc 510","talked treatment_centers lifetime ever thought",79
"412","doc 511","just trying find that different actually work treatment_centers went utah thirteen months",164
"413","doc 512","really comprehensive great transitional program great there story",123
"414","doc 513","great treatment",36
"415","doc 516","great gets relapses",50
"416","doc 518","resumes break recording feel kind breaking point hasn",123
"417","doc 519","laughs maybe need breaking point suggesting",75
"418","doc 520","wondering managing three small children constant know",96
"419","doc 521","mean sure somewhere someone suffering terms enough attention",79
"420","doc 523","everybody seems holding together right",56
"421","doc 525","just needs done extremely overwhelmed extremely stressed somehow manage",106
"422","doc 526","never person believes hitting rock bottom what needed",80
"423","doc 527","believe rock bottom death wait happened know that people believe that fine",145
"424","doc 528","need convince treatment think things control things control",136
"425","doc 529","stressful right",40
"426","doc 530","know doesn always want",40
"427","doc 531","also peace mind wondering doesn answer phone alive many times that happened",164
"428","doc 532","know want hear stories times",65
"429","doc 533","whole thing thinking disaster addiction that_like mother addict child sure going years right okay point couple_years roads treatment_center utah",285
"430","doc 534","place mentioning that long_term",57
"431","doc 535","first_time just_really inpatient",62
"432","doc 536","didn transitional living",38
"433","doc 542","fortunately saved naloxone",39
"434","doc 543","lived together eight months",48
"435","doc 545","really_didn anything keeping utah came_back",72
"436","doc 546","living couple months",45
"437","doc 547","quickly went_back hanging friends champlin still using",96
"438","doc 549","quit started jobs",50
"439","doc 550","knew started using stopped coming home",59
"440","doc 551","knew actively using couldn live time",71
"441","doc 552","pretty deep hole quickly know happens",70
"442","doc 553","around moved_back",55
"443","doc 554","july finally asked called said back treatment like",113
"444","doc 555","where wanted back roads",50
"445","doc 556","made phone calls airline ticket went",74
"446","doc 557","knew going hook back girlfriend",62
"447","doc 561","insurance really high deductible",47
"448","doc 562","knew went wasn going treatment well disaster",113
"449","doc 563","even made tons phone calls",42
"450","doc 564","worked arrangement found treatment_center take waive deductible",103
"451","doc 565","made arrangements made arrangements",68
"452","doc 566","going meet airport going respective treatment_centers",109
"453","doc 568","went hotel used whole night called know",75
"454","doc 569","weren going treatment weren going treatment right away",90
"455","doc 570","night thing",39
"456","doc 572","going spend that didn like nine going spend night whole following morning wednesday",190
"457","doc 573","turned using heroin using benzodiazepine",72
"458","doc 574","next communication",65
"459","doc 575","couldn understand talked",66
"460","doc 576","unbeknownst them like four something afternoon time",83
"461","doc 577","called treatment_centers said_know guys scheduled pick respectively time tomorrow morning",144
"462","doc 578","pick right they hotel",61
"463","doc 579","here address them well treatment couldn",63
"464","doc 581","there salt lake city like hours outside salt lake city provo",104
"465","doc 582","said couple hours well called girlfriend knew said going overnight treatment_center",189
"466","doc 583","stay alone girlfriend going stay jerrica",99
"467","doc 584","chance treatment_center going come",43
"468","doc 585","meantime call jerrica saying chance just took know went",104
"469","doc 586","told going neighbor lawn goes trying call cell phone answering",130
"470","doc 588","jeans shirt shoes just took saying going neighbor yard like jerrica using tells",169
"471","doc 589","like back that benzos that benzos",72
"472","doc 591","going sleep street didn come_back evening",72
"473","doc 592","like seven eight getting worried",42
"474","doc 595","said_well hasn missing long really anything clock night calling three area hospitals every hour throughout entire night",187
"475","doc 598","calling police pretty_much every hour",45
"476","doc 600","finally next around thirty manage work somehow",75
"477","doc 601","working time working prudential",74
"478","doc 604","went prudential went work",36
"479","doc 605","girlfriends said call police time",58
"480","doc 606","tell almost twenty_four hours",44
"481","doc 607","need file missing persons report finally said utah resident like minnesota resident well file missing persons report anyways",191
