"","X","sentence_id","id","sentence","nchar","doc_id","description","family_experience","treatment_prof","personal_experience","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_13","cluster_14","cluster_15","cluster_16","cluster_17","cluster_18","cluster_19","cluster_20","clusters"
"29",29,15,2,"patients say majority want abstain alcohol",42,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"30",30,16,1,"case attorney calls sometime",28,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","TRUE","","","","TRUE","","","TRUE",",,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE"
"31",31,16,2,"rather thinking reduction using controlled way",46,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","TRUE","","TRUE","TRUE","","","TRUE","TRUE","","","","","","","","","","TRUE",",,TRUE,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,TRUE"
"32",32,17,1,"grew farm Mable Minnesota Mankato",33,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","TRUE","","","","","","","","","","","","","","TRUE","","TRUE","",",,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,"
"33",33,17,2,"reasonable goal patients",24,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"34",34,18,1,"years Winona first transferred Mankato State",44,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","","","","TRUE","TRUE","","","","","TRUE","TRUE","","",",,,TRUE,,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,"
"35",35,18,2,"resonate",8,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"36",36,19,1,"okay",4,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"37",37,19,2,"old pattern addiction therapy push patients abstinence",54,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"38",38,20,1,"family history college education",32,"Anderson_Greg","Social worker",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"39",39,20,2,"Make think want abstinence",26,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"40",40,21,1,"mother father",13,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"41",41,21,2,"brainwash",9,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"42",42,22,1,"sister degrees sociology nursing",32,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","TRUE","","","","","","","TRUE","","",",,,,,,,,,,TRUE,,,,,,,TRUE,,"
"43",43,22,2,"society moral thing way",23,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","TRUE","TRUE","","","","","","","","","TRUE","","","","TRUE","","",",,,TRUE,TRUE,,,,,,,,,TRUE,,,,TRUE,,"
"44",44,23,1,"parents encourage college",25,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"45",45,23,2,"Abstinence good substance use evil",34,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","","","","","","TRUE","","TRUE","TRUE","","","","","","","TRUE","","","TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,,,,TRUE,,"
"46",46,24,1,"Absolutely",10,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"47",47,24,2,"wiped",5,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"48",48,25,1,"Growing sixties early seventies small rural town basically lot industry",71,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","TRUE","","","TRUE","TRUE","TRUE","TRUE","","TRUE","","TRUE","","TRUE",",,,,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE"
"49",49,25,2,"fantasies substance free societies",34,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","","","","","","","TRUE","","","TRUE","","","","","","","TRUE","","","TRUE,,,,,,,TRUE,,,TRUE,,,,,,,TRUE,,"
"50",50,26,1,"primary business industry farming",33,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","TRUE","","TRUE","","","","","TRUE","","TRUE",",,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,TRUE"
"51",51,26,2,"illusion",8,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"52",52,27,1,"position really take doo doo",28,"Anderson_Greg","Social worker",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"53",53,27,2,"ruse",4,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","","","","","","","","","","","","","","","","","","","TRUE,TRUE,,,,,,,,,,,,,,,,,,"
"54",54,28,1,"Allergies things",16,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","TRUE","TRUE","","","TRUE","","","","","","","TRUE","","","","TRUE","","",",,TRUE,TRUE,,,TRUE,,,,,,,TRUE,,,,TRUE,,"
"55",55,28,2,"people handle substances people",31,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","","TRUE","TRUE","","TRUE","","","TRUE","TRUE","TRUE","","TRUE","TRUE","","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,TRUE,TRUE"
"56",56,29,1,"position carry family farm real clear",37,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","TRUE","","","","TRUE",",,,,,,,,,,,,,,,TRUE,,,,TRUE"
"57",57,29,2,"thing",5,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","TRUE","","","","","","","","","","TRUE","","","","TRUE","","",",,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,"
"58",58,30,1,"sister years older",18,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","","","","TRUE","TRUE","","","","","","TRUE","","",",,,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,"
"59",59,30,2,"political discussions try get politicians still think substances dangerous true",79,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"60",60,31,1,"nursing school Mankato State University",39,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"61",61,31,2,"know provocative thing say",26,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"62",62,32,2,"majority people use substance controlled way",44,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","","","TRUE","","","TRUE","","","TRUE","","TRUE","","","","","TRUE","","","TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,,"
"63",63,33,1,"Needed move person oriented person",34,"Anderson_Greg","Social worker",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"64",64,33,2,"case heroin unknown",19,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"65",65,34,1,"handled meteorologist",21,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","TRUE","","","","","","","TRUE","","",",,,,,,,,,,TRUE,,,,,,,TRUE,,"
"66",66,34,2,"people think heroin dangerous use hooked",40,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"67",67,35,1,"look mass communication journalism news broadcasting",52,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","TRUE","","","","","","","TRUE","","",",,,,,,,,,,TRUE,,,,,,,TRUE,,"
"68",68,35,2,"true",4,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"69",69,36,1,"Spent time",10,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","TRUE","","","","TRUE","","","TRUE",",,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE"
"70",70,36,2,"know studies Switzerland study studies big group heroin users problem using controlled way recreational way",107,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"71",71,37,1,"Realized handle egos present area work slipped sociology",56,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","","","","","","","","","","TRUE","","","",",,,TRUE,,,,,,,,,,,,,TRUE,,,"
"72",72,37,2,"case heroin alcohol cocaine",27,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"73",73,38,1,"Got degree spent summers summer rec program director Mable Canton communities",77,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","TRUE","","","","","","","","","TRUE","","","","","TRUE","TRUE","TRUE","",",,TRUE,,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,"
"74",74,38,2,"minority people vulnerable genetic reasons growing bad environment vulnerable action psychoactive substances self medicating way probably",137,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","","TRUE","TRUE","","TRUE","","","TRUE","TRUE","TRUE","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"75",75,39,1,"strong love first love family baseball",38,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","","","","TRUE","","","","","TRUE","TRUE","TRUE","","TRUE",",,,TRUE,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE"
"76",76,39,2,"fault",5,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"77",77,40,1,"spend lot time following working",32,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","","","","","","TRUE","TRUE","","TRUE","TRUE","","","TRUE",",,,TRUE,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE"
"78",78,40,2,"happens fact avoid",18,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"79",79,41,1,"kind",4,"Anderson_Greg","Social worker",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","","TRUE","TRUE","TRUE","TRUE","TRUE","","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE"
"80",80,41,2,"percent regular users risk",26,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","","","","","","","","","","","","","","","","","","","TRUE,TRUE,,,,,,,,,,,,,,,,,,"
"81",81,42,1,"got Twin Cities",15,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","","","","","","","","","","TRUE","TRUE","","","","","","TRUE",",,,,,,,,,,,,TRUE,TRUE,,,,,,TRUE"
"82",82,42,2,"view fact accept",16,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"","","","","","","","","","","","","","","","","","","","",",,,,,,,,,,,,,,,,,,,"
"83",83,43,1,"married moved worked nursing homes",34,"Anderson_Greg","Social worker",NA,TRUE,NA,"","TRUE","","TRUE","","TRUE","","","","","","","","","","","TRUE","","","",",TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,"
"84",84,43,2,"part solidarity owe people stand help judge punish",50,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"85",85,44,1,"short time activity assistant activity director spent probably years social service director",92,"Anderson_Greg","Social worker",NA,TRUE,NA,"","","","TRUE","","","","TRUE","","","TRUE","TRUE","TRUE","","","","TRUE","TRUE","","TRUE",",,,TRUE,,,,TRUE,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,TRUE"
"86",86,44,2,"need try help manage vulnerability best possible",48,"Beck_Thilo","Addiction medicine doctor",NA,TRUE,NA,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE"
"87",87,45,1,"Basically coordinated admissions discharged planning addressing psychosocial needs nursing home residents nursing home",118,"Anderson_Greg","Social worker",NA,TRUE,NA,"","TRUE","","TRUE","","TRUE","","TRUE","","","","","","","","","TRUE","TRUE","TRUE","",",TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,"
